Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8700,3780,3780,1972.654,32.494,0.211,944,977,942,987,53,61,960.971,965.266,57.787
8701,917,917,662.976,17.545,0.326,379,397,962,985,53,61,387.349,972.649,58.129
8702,2511,2511,1364.910,25.515,0.280,1146,1180,982,1011,52,61,1162.909,996.990,57.532
8703,4340,4340,3169.965,45.635,0.067,522,579,959,1015,53,61,550.681,994.476,58.558
8704,160,160,184.925,8.504,0.458,1785,1794,1011,1024,58,61,1788.787,1017.181,59.306
8705,81,81,119.016,7.065,0.440,297,305,1019,1025,55,61,300.383,1022.111,58.173
8706,760,760,567.394,16.788,0.358,1281,1303,1012,1025,52,61,1293.837,1019.091,57.376
8707,340,340,279.710,10.493,0.597,470,483,1025,1034,53,61,475.559,1028.853,57.341
8708,3139,3139,1914.790,35.365,0.159,590,637,1019,1053,53,61,616.474,1033.160,58.080
8709,1857,1857,1143.788,22.699,0.261,279,311,1027,1053,51,61,293.395,1037.194,57.829
8710,231,231,343.816,17.032,0.148,559,582,1042,1060,55,61,568.701,1049.277,57.563
8711,1958,1958,1469.440,29.181,0.137,589,634,1038,1062,52,61,611.817,1046.687,58.323
8712,2092,2092,1438.709,29.355,0.166,1252,1279,1092,1130,53,61,1267.509,1108.932,58.312
8713,244,244,325.170,15.551,0.196,523,542,1137,1155,55,61,531.934,1144.455,57.324
8714,859,859,664.999,20.081,0.284,669,698,1126,1148,53,61,682.540,1135.861,58.048
8715,4225,4225,2708.815,37.085,0.102,775,830,1166,1200,54,61,800.603,1180.373,58.508
8716,245,245,298.480,14.724,0.255,1931,1944,1184,1208,55,59,1936.249,1194.971,57.192
8717,1023,1023,831.635,20.410,0.206,1772,1791,1182,1210,56,61,1780.373,1197.160,58.818
8718,63,63,102.390,7.836,0.418,2042,2048,1205,1216,57,61,2046.032,1211.079,59.190
8719,143,143,176.105,8.381,0.423,1951,1962,1213,1221,55,61,1955.545,1216.203,57.294
8720,3703,3703,2593.543,45.880,0.089,161,216,1202,1247,54,61,184.748,1225.265,58.354
8721,1704,1704,1166.473,24.930,0.207,432,454,1240,1274,53,61,440.562,1255.266,58.259
